Mensagem,Tópico,Subtópico,Data,Remetente
Olá,Outros,,2024-10-05 11:20:00,Luiz Peixoto
Opa,Outros,,2024-10-05 11:53:00,Larsen
"Salve, ",Outros,,2024-10-05 11:54:00,Luiz Peixoto
"Fiquem a vontade para incluir nessa tarefa outros tópicos, como por exemplo um item próximos passos",Outros,,2024-10-05 11:55:00,Luiz Peixoto
Boa Tarde !!!,Outros,,2024-10-05 12:46:00,Roberta Afilhada
‎STK-20241002-WA0030.webp (arquivo anexado),Outros,,2024-10-05 13:41:00,Larsen
"Pessoal, ",Outros,,2024-10-06 10:54:00,Luiz Peixoto
Esse trabalho é fonte de outro trabalho importante da FGV sobre o tema.  Ainda não revisei todo o conteúdo dos 5 dias da Consulta Aberta do CNJ e não posso confirmar ainda se há menção ao texto.  Vou enviar também essa bibliografia.,Ferramentas e Plataformas,Zotero,2024-10-06 10:57:00,Luiz Peixoto
Seja bem vindo Victor.,Outros,,2024-10-07 10:31:00,Luiz Peixoto
"Muito obrigado, Luiz. Vamos juntos descobrir como usar da melhor maneira a IA no Direito.",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-10-07 14:08:00,Victor Fentanes
‎Entendendo Algoritmos Definições e Aplicações na Matemática e Informática.pdf (arquivo anexado),Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-10-08 01:17:00,Luiz Peixoto
o arquivo acima é o registro na blockchain do estado das discussões.,Outros,,2024-10-08 01:17:00,Luiz Peixoto
‎2024-10-06_07-12-14-Carta Ética Europeia sobre a utilização da IA nos sistemas judiciais e no respetivo ambiente.pdf (arquivo anexado),Ferramentas e Plataformas,Geral,2024-10-08 15:38:00,Luiz Peixoto
"Pessoal, com esses dois trabalhos que deixo aqui para vocês vou aproveitar para focar nos processos que preciso acompanhar aqui. A conta do uso nessas duas últimas semanas chegou e veio bem cara. Vou pesquisar modelos mais baratos para que possamos manter a operação do grupo.",Aplicações Jurídicas Práticas,Processos e Fluxos de Trabalho Jurídicos,2024-10-08 15:45:00,Luiz Peixoto
"Para o próximo encontro, seria muito bom que alguns de vocês já pesquisassem sobre duas ferramentas que vou deixar o link abaixo: obsidian e zotero.",Ferramentas e Plataformas,Geral,2024-10-08 15:45:00,Luiz Peixoto
https://obsidian.md,Ferramentas e Plataformas,Obsidian,2024-10-08 15:46:00,Luiz Peixoto
https://www.zotero.org,Ferramentas e Plataformas,Zotero,2024-10-08 15:46:00,Luiz Peixoto
Seja bem vindo Dr Wanderlei!,"Questões Éticas, Regulatórias e Sociais","Regulação, Direito e Governança da IA",2024-10-08 15:47:00,Paulo Carlos Adv
"Bem vindo Dr. Wanderlei. É um prazer tê-lo conosco. Fique a vontade para se apresentar ao grupo e falar um pouco de como acredita que um grupo de estudos como o nosso pode te ajudar. Se quiser acrescentar mais informações, fique a vontade.  Depois compartilharei uma pasta com os materiais que estamos produzindo.",Conceitos Técnicos e Fundamentos de IA,Fundamentos de IA e LLMs,2024-10-08 15:48:00,Luiz Peixoto
Obrigado @5511960285788 por trazer uma amigo.,Outros,,2024-10-08 15:49:00,Luiz Peixoto
"boa noite. Tenho trauma do zotero. Há algum tempo, tentei e não consegui usar.",Ferramentas e Plataformas,Zotero,2024-10-08 19:01:00,Renan Aguiar
Então vamos resolver isso meu amigo.,Outros,,2024-10-09 00:42:00,Luiz Peixoto
